code,name,current price, highest price, lowest price, rate to high, rate to low, price rate,days from last open, days from lowest price, priceTrend, redKline, redSoldier, industrySector, industrySubSector
002008,大族激光,25.89,39.61,17.6,0.6536228,0.6797992,0.37664694,61,72,GoDown,0,true,制造业,新能源
002009,天奇股份,20.75,38.03,13.0,0.5456219,0.62650603,0.30962846,49,65,GoUpRed,3,true,制造业,新能源
600380,健康元,13.82,24.15,8.96,0.57225674,0.64833575,0.31994733,61,72,GoDown,0,false,制造业,医药制造
002037,久联发展,27.76,49.81,21.84,0.5573178,0.7867435,0.21165533,61,72,GoUpRed,0,false,制造业,化工行业
600381,青海春天,21.22,49.65,14.63,0.4273917,0.68944395,0.18817815,61,119,GoDown,3,false,null,医药
600387,海越股份,16.89,28.36,10.89,0.5955571,0.64476025,0.34344584,61,79,GoDown,0,false,null,创投
600388,龙净环保,17.28,28.09,11.4,0.61516553,0.65972215,0.3523068,61,72,GoDown,0,true,制造业,电力设备
002043,兔 宝 宝,14.07,19.15,11.56,0.73472583,0.8216063,0.33069822,10,47,GoDown,0,true,null,建材
002041,登海种业,16.85,24.39,13.68,0.69085693,0.81186944,0.2959851,61,72,GoDown,0,true,深证成指,农牧饲渔
002029,七 匹 狼,13.67,31.2,8.39,0.43814102,0.6137528,0.2314774,61,72,GoUpRed,3,false,制造业,纺织服装
002028,思源电气,15.89,25.88,10.27,0.6139877,0.64631844,0.36002564,61,72,GoDown,0,true,制造业,输配电气
600372,中航电子,24.63,48.32,18.43,0.5097268,0.7482745,0.2074272,61,72,GoUpRed,0,true,null,航天航空
600373,中文传媒,23.49,37.61,19.18,0.6245679,0.8165177,0.23385781,61,85,GoDown,0,true,null,教育传媒
600376,首开股份,12.5,20.78,8.71,0.6015399,0.6968,0.31400165,61,72,GoDown,0,false,null,房地产
300002,神州泰岳,13.1,26.92,9.53,0.48662704,0.7274809,0.20529044,61,72,GoUpRed,0,true,信息传输、软件和信息技术服务业,计算机
600368,五洲交通,6.57,11.09,4.43,0.59242564,0.67427695,0.32132137,61,119,GoUpRed,0,true,null,交通设施
600361,华联综超,8.05,15.57,5.72,0.5170199,0.71055895,0.23654826,61,72,GoUpRed,0,false,null,商业百货
000692,惠天热电,6.95,13.68,5.23,0.5080409,0.752518,0.20355025,61,119,GoUpRed,0,false,电力、煤气及水的生产和供应业,供水供气
000690,宝新能源,9.78,17.16,6.64,0.5699301,0.6789366,0.29847905,61,72,GoUpGreen,0,false,电力、煤气及水的生产和供应业,新能源
000683,远兴能源,5.54,11.54,4.34,0.4800693,0.78339356,0.16666664,61,72,GoUpRed,0,false,制造业,化工行业
600359,新农开发,11.96,20.65,8.48,0.5791768,0.70903003,0.28594908,61,79,GoDown,0,true,null,农牧饲渔
000688,建新矿业,10.29,17.07,10.22,0.60281193,0.9931973,0.010218934,18,1,GoUpGreen,0,false,采掘业,成渝特区
002062,宏润建设,9.7,15.87,6.0,0.6112161,0.61855674,0.37487334,61,72,GoUpRed,0,true,建筑业,工程建筑
002060,粤 水 电,9.22,16.69,7.05,0.5524266,0.76464206,0.22510374,61,72,GoDown,0,true,建筑业,工程建筑
002061,江山化工,9.26,18.82,5.72,0.4920298,0.61771053,0.27022904,16,19,GoUpRed,0,true,null,化工行业
002066,瑞泰科技,20.32,34.15,12.99,0.5950219,0.6392717,0.34640828,61,119,GoUpRed,0,false,null,材料行业
002064,华峰氨纶,6.49,12.53,5.2,0.5179569,0.80123264,0.17598908,61,62,GoDown,0,false,制造业,化工化纤
002047,宝鹰股份,11.24,20.6,7.8,0.54563105,0.69395024,0.26874995,61,62,GoUpRed,0,false,null,工程建筑
600352,浙江龙盛,11.64,20.01,9.43,0.58170915,0.81013745,0.20888469,61,62,GoDown,0,false,null,化工化纤
