#代码;名称;收盘价;涨跌幅;成交量/股;换手率;流通市值/万元;总市值/万元
000063;中兴通讯;17.04;+6.83%;113292304;3.37%;5729363.56;7029084.40;
600010;包钢股份;3.62;+6.79%;296481056;1.88%;5698612.75;11786987.01;
601991;大唐发电;5.53;+6.76%;62971352;0.63%;5526881.08;7360450.78;
600150;中国船舶;39.37;+10.00%;53537704;3.88%;5425648.98;5425648.98;
600690;青岛海尔;9.82;+3.70%;87136640;1.58%;5410296.67;6012937.49;
600118;中国卫星;44.59;+9.99%;65583800;5.55%;5272719.05;5272719.05;
601888;中国国旅;54.00;+4.11%;11733656;1.20%;5271683.97;5271683.97;
000709;河北钢铁;4.93;+7.41%;1261776384;11.88%;5234127.62;5234973.67;
601600;中国铝业;5.43;+8.82%;222533856;2.32%;5202223.40;8092762.44;
002075;沙钢股份;0.00;0.00%;0;0.00%;5201673.85;5201676.32;
600703;三安光电;21.90;+6.47%;49659420;2.10%;5191128.83;5240855.89;
601633;长城汽车;25.71;+3.96%;17777564;0.88%;5165763.75;7822069.53;
600031;三一重工;6.80;+7.94%;140619392;1.85%;5163720.17;5179222.75;
000046;泛海控股;10.83;+5.35%;23369590;0.51%;4926928.64;4935568.64;
601808;中海油服;16.62;+6.54%;35513420;1.20%;4920297.82;7930385.90;
600153;建发股份;17.31;0.00%;0;0.00%;4907732.12;4907732.12;
600415;小商品城;8.93;+9.57%;140138848;2.57%;4860790.26;4860790.26;
600674;川投能源;10.80;+2.86%;103048232;2.34%;4754311.72;4754311.72;
600637;东方明珠;29.86;+8.50%;47823068;3.03%;4719029.04;7842844.31;
000778;新兴铸管;0.00;0.00%;0;0.00%;4705219.68;4707153.11;
600221;海南航空;3.96;+6.45%;303697952;2.57%;4677577.42;4824143.99;
600005;武钢股份;4.54;+8.10%;199029200;1.97%;4582576.04;4582576.04;
300059;东方财富;35.38;+6.99%;133666112;10.35%;4568461.29;6012852.74;
000625;长安汽车;13.45;+3.94%;96486832;2.85%;4556212.27;6271581.82;
000917;电广传媒;0.00;0.00%;0;0.00%;4548170.66;6071393.80;
600383;金地集团;10.06;+4.68%;24296988;0.54%;4526607.53;4526607.53;
000783;长江证券;9.34;+8.48%;193143136;4.07%;4429394.33;4429464.81;
601901;方正证券;7.01;+4.32%;157239024;2.50%;4409185.23;5770703.08;
601009;南京银行;14.76;+3.80%;74608696;2.51%;4382145.39;4968150.36;
600271;航天信息;46.94;+10.01%;24437116;2.65%;4334439.60;4334439.60;
002450;康得新;30.08;+7.43%;37681992;2.64%;4299040.41;4318630.85;
600196;复星医药;22.55;+2.55%;28311948;1.49%;4297161.11;5212162.72;
600027;华电国际;7.22;+6.02%;96114536;1.62%;4288720.58;6358863.24;
601377;兴业证券;8.24;+3.00%;163980320;3.15%;4284800.00;4284800.00;
600372;中航电子;24.05;+10.02%;44037268;2.50%;4230786.87;4230786.87;
000559;万向钱潮;17.88;+8.30%;148630704;6.49%;4094343.19;4102207.59;
600649;城投控股;13.68;+5.72%;80828272;2.71%;4086932.17;4086932.17;
601158;重庆水务;8.49;+7.20%;28798368;0.60%;4075200.00;4075200.00;
601877;正泰电器;30.62;0.00%;0;0.00%;4026243.35;4026243.35;
002673;西部证券;17.42;+3.69%;71181272;3.09%;4006600.00;4869882.28;
600058;五矿发展;37.31;0.00%;0;0.00%;3999298.86;3999298.86;
601216;内蒙君正;10.77;+9.12%;104245944;2.83%;3970252.80;3970252.80;
002142;宁波银行;11.49;+2.41%;93383480;2.71%;3964210.35;4480863.40;
600309;万华化学;18.33;+5.16%;23173964;1.07%;3963559.54;3963559.54;
300104;乐视网;35.20;+10.00%;80243568;7.34%;3848299.13;6533173.36;
600588;用友网络;27.43;+9.98%;66592300;4.77%;3832259.62;4002551.07;
000100;TCL 集团;4.24;+6.27%;380810976;4.23%;3814525.19;5183677.74;
600583;海油工程;9.42;+7.53%;99343296;2.45%;3814171.38;4164916.22;
600021;上海电力;17.60;+9.93%;51757008;2.42%;3765941.09;3765941.09;
002594;比亚迪;51.01;+4.51%;23096968;3.15%;3741356.71;12630076.00;
600535;天士力;36.00;+2.98%;8759067;0.85%;3718233.55;3889713.16;
300024;机器人;58.61;+10.00%;36666296;5.78%;3715268.21;3838087.57;
601985;中国核电;9.47;+8.85%;419855936;10.79%;3684777.00;14740462.21;
000839;中信国安;0.00;0.00%;0;0.00%;3663487.93;3664253.67;
600066;宇通客车;19.20;+1.37%;18170948;0.95%;3654689.71;4250763.31;
300027;华谊兄弟;0.00;0.00%;0;0.00%;3653810.45;5495887.17;
600170;上海建工;7.78;+8.51%;58014460;1.24%;3648977.30;4623820.68;
600256;广汇能源;6.96;+9.95%;152235856;2.92%;3634111.58;3634111.58;
000031;中粮地产;20.00;+8.81%;206687552;11.40%;3627440.16;3627463.19;
600741;华域汽车;14.04;+3.08%;39427120;1.53%;3626813.05;3626813.05;
601607;上海医药;18.86;+5.48%;30796412;1.60%;3626655.44;5071285.27;
600109;国金证券;12.76;+6.96%;149336640;5.26%;3619832.48;3859082.48;
000883;湖北能源;6.70;+7.72%;101847960;1.91%;3581868.76;3583662.28;
600705;中航资本;16.27;+10.01%;180424512;8.29%;3542047.69;6073100.37;
600820;隧道股份;11.26;+9.96%;167620992;5.33%;3540252.20;3540252.20;
600839;四川长虹;7.66;+10.06%;450559040;9.77%;3531258.33;3536043.07;
000157;中联重科;5.64;+7.43%;152924896;2.44%;3531201.18;4346158.08;
601933;永辉超市;11.49;+7.08%;170803808;5.56%;3529268.40;4673598.99;
