#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,10.050,10.110,9.830,9.800,22473246,223870896
2015-03-30,9.830,10.150,10.080,9.820,27218528,271760512
2015-03-27,9.850,9.900,9.790,9.730,16246575,159432016
2015-03-26,9.900,9.930,9.830,9.730,20768248,204028336
2015-03-25,9.910,10.080,9.990,9.800,22006260,218573520
2015-03-24,10.050,10.080,9.850,9.630,24854428,244868496
2015-03-23,10.180,10.300,10.090,10.000,22145304,223613712
2015-03-20,9.810,10.330,10.080,9.750,28098436,284323904
2015-03-19,9.780,9.870,9.810,9.630,21326974,208197024
2015-03-18,9.280,9.990,9.800,9.260,37047488,359783936
2015-03-17,9.250,9.330,9.300,9.140,21564762,199349712
2015-03-16,9.110,9.300,9.230,9.100,28447672,261614000
2015-03-13,9.110,9.150,9.110,8.970,11390842,103374320
2015-03-12,8.900,9.150,9.120,8.880,15114417,136070256
2015-03-11,9.230,9.230,8.930,8.890,19442292,175132960
2015-03-10,9.210,9.340,9.150,9.100,17895590,164786112
2015-03-09,8.950,9.250,9.180,8.920,23452506,214649584
2015-03-06,9.040,9.390,9.000,8.920,41957956,383432320
2015-03-05,8.710,9.060,9.000,8.660,39325764,350069344
2015-03-04,8.650,8.770,8.690,8.530,13110932,113055736
2015-03-03,8.660,8.660,8.550,8.500,10674401,91629480
2015-03-02,8.560,8.690,8.680,8.500,15037056,129710384
2015-02-27,8.590,8.590,8.490,8.480,7955008,67814488
2015-02-26,8.460,8.560,8.550,8.400,6885663,58555468
2015-02-25,8.500,8.550,8.460,8.430,5237779,44487148
2015-02-17,8.400,8.570,8.500,8.400,10416549,88545184
2015-02-16,8.370,8.440,8.400,8.350,6121825,51427388
2015-02-13,8.350,8.410,8.370,8.320,7890226,66055392
2015-02-12,8.250,8.350,8.310,8.250,5931393,49277160
2015-02-11,8.260,8.290,8.250,8.210,4250880,35106080
2015-02-10,8.130,8.250,8.240,8.110,5582534,45642428
2015-02-09,8.070,8.160,8.130,8.040,3690500,29928204
2015-02-06,8.170,8.230,8.080,8.030,5755267,46817872
2015-02-05,8.370,8.380,8.200,8.190,10123786,83685568
2015-02-04,8.300,8.400,8.290,8.270,9206546,76651288
2015-02-03,8.230,8.300,8.290,8.210,6728615,55556080
2015-02-02,8.280,8.290,8.230,8.200,6230100,51339832
2015-01-30,8.350,8.440,8.330,8.300,6845823,57320744
2015-01-29,8.380,8.420,8.320,8.290,6176590,51539896
2015-01-28,8.520,8.520,8.440,8.380,8122390,68560320
2015-01-27,8.420,8.670,8.550,8.420,15831369,135316528
2015-01-26,8.320,8.440,8.430,8.300,8581399,71877544
2015-01-23,8.400,8.430,8.330,8.280,8842247,73889736
2015-01-22,8.380,8.420,8.390,8.300,11382824,95185056
2015-01-21,8.210,8.400,8.380,8.170,12713466,105489992
2015-01-20,8.050,8.230,8.210,8.030,9101310,74116176
2015-01-19,8.360,8.360,8.010,7.800,16895248,138527472
2015-01-16,8.550,8.630,8.550,8.500,13742100,117695120
2015-01-15,8.420,8.570,8.560,8.420,7607162,64839336
2015-01-14,8.500,8.580,8.420,8.390,8764648,74588880
2015-01-13,8.510,8.560,8.530,8.430,7754221,65911864
2015-01-12,8.620,8.630,8.460,8.360,15396285,130718376
2015-01-09,8.880,9.000,8.670,8.660,24420780,216872608
2015-01-08,9.100,9.150,8.910,8.850,15495377,138903280
2015-01-07,9.100,9.130,9.080,8.910,19948988,179937840
2015-01-06,8.950,9.450,9.140,8.900,51306428,473864608
2015-01-05,8.710,9.090,9.010,8.710,34788188,311177088
2015-06-30,14.400,15.580,15.300,13.230,27054988,390817440
2015-06-29,15.580,15.880,14.700,13.550,28217072,410465216
2015-06-26,16.000,16.160,15.050,15.050,19329380,297843232
2015-06-25,16.400,17.200,16.720,16.180,31340864,522686624
2015-06-24,16.750,17.800,16.710,16.050,33526884,558894464
2015-06-23,16.870,17.140,16.680,15.670,27497288,446689760
2015-06-19,17.980,18.100,17.410,16.830,38126160,662501248
2015-06-18,17.280,18.330,17.960,16.830,36932420,655532416
2015-06-17,16.700,17.730,17.250,16.300,37295232,639887168
2015-06-16,15.480,17.200,16.660,14.980,53112048,839740288
2015-06-15,14.780,16.260,15.850,14.600,60229408,942627648
2015-06-12,14.840,14.990,14.780,14.630,19496892,288827296
2015-06-11,15.280,15.300,14.840,14.700,25098856,373493056
2015-06-10,14.730,15.340,15.210,14.500,25341056,382365248
2015-06-09,15.010,15.080,14.890,14.570,26693616,395874400
2015-06-08,14.600,15.190,14.820,14.350,46209844,685723392
2015-06-05,13.350,14.400,14.400,13.010,57566000,785739776
2015-06-04,12.980,13.330,13.090,11.790,27294304,349026176
2015-06-03,13.200,13.290,12.970,12.660,23479392,305111616
2015-06-02,12.680,13.160,13.130,12.540,23623324,302832672
2015-06-01,12.000,12.700,12.660,12.000,21490836,267276288
2015-05-29,12.240,12.480,11.930,11.550,21262280,255601056
2015-05-28,13.300,13.600,12.250,12.200,29112008,381876256
2015-05-27,13.560,13.560,13.390,13.140,25370216,337743616
2015-05-26,13.680,13.800,13.590,13.200,33192752,448392448
2015-05-25,14.290,14.290,13.460,13.400,38474548,524122336
2015-05-22,12.400,13.330,13.050,12.220,29355470,370639744
2015-05-21,12.100,12.360,12.350,11.830,13905429,167965376
2015-05-20,12.260,12.470,12.160,12.140,18835656,231728272
2015-05-19,11.830,12.380,12.230,11.660,13440327,162954032
2015-05-18,12.110,12.110,11.850,11.790,12501891,148725840
2015-05-15,12.600,12.600,12.160,12.100,12395246,152095728
2015-05-14,12.600,13.020,12.720,12.460,17312780,221132128
2015-05-13,12.430,12.760,12.580,12.220,18630744,231799840
2015-05-12,12.450,12.720,12.480,12.280,20145928,251684944
2015-05-11,11.700,12.690,12.660,11.510,27209954,330503392
2015-05-08,11.300,11.650,11.590,11.230,15016076,172066832
2015-05-07,11.300,11.430,11.200,11.060,11623702,130518960
2015-05-06,11.820,12.000,11.340,11.030,16146871,188435904
2015-05-05,12.710,12.710,11.820,11.700,19226166,233593472
2015-05-04,12.500,13.010,12.690,12.420,15630818,198841920
2015-04-30,12.990,13.400,12.550,12.500,19956928,258551888
2015-04-29,12.680,13.110,13.010,12.370,23007436,295090528
2015-04-28,13.420,13.420,12.880,12.600,34537744,446113120
2015-04-27,12.300,13.440,13.440,12.220,49921524,647082048
2015-04-24,11.500,12.430,12.220,11.400,33159176,400057408
2015-04-23,11.530,12.050,11.760,11.530,35188628,415839104
2015-04-22,11.060,11.620,11.490,11.060,31042946,354456160
2015-04-21,10.680,11.050,11.040,10.680,20846358,226675936
2015-04-20,11.010,11.220,10.680,10.650,31965024,348508544
2015-04-17,10.900,11.340,11.140,10.830,33104834,368221248
2015-04-16,10.740,10.910,10.850,10.300,23328958,248314096
2015-04-15,10.550,10.940,10.730,10.450,29957998,321814048
2015-04-14,10.520,10.700,10.560,10.350,19956700,209835072
2015-04-13,10.430,10.600,10.530,10.290,21813368,228024384
2015-04-10,10.200,10.400,10.380,10.180,19895138,205122848
2015-04-09,10.480,10.560,10.250,10.050,21255588,217483840
2015-04-08,10.660,10.740,10.550,10.320,23568584,248391936
2015-04-07,10.580,10.690,10.640,10.500,20974060,221974800
2015-04-03,10.500,10.800,10.560,10.380,25597004,270348448
2015-04-02,10.090,10.610,10.570,10.050,35008204,363957312
2015-04-01,9.820,10.130,10.070,9.750,27580208,275845056
2015-08-20,19.950,20.080,19.520,19.170,15119455,295129024
2015-08-19,19.000,20.190,19.850,18.400,27626592,539053888
2015-08-18,21.000,21.150,19.330,18.870,38785624,769023232
2015-08-17,19.990,21.000,20.970,19.520,38121640,773535936
2015-08-14,18.850,20.580,19.880,18.660,43561368,852355456
