#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,1.388,1.405,1.387,1.387,10800,15162
2015-03-30,1.377,1.387,1.387,1.377,90402,125309
2015-03-27,1.390,1.390,1.380,1.368,33876,46659
2015-03-26,1.390,1.395,1.395,1.390,106776,148639
2015-03-25,1.389,1.390,1.390,1.363,195786,271575
2015-03-24,1.387,1.399,1.389,1.387,159374,222195
2015-03-23,1.394,1.417,1.400,1.394,47401,66271
2015-03-20,1.390,1.391,1.377,1.377,20698,28744
2015-03-19,1.369,1.390,1.369,1.369,84939,116311
2015-03-18,1.362,1.399,1.399,1.362,82863,113089
2015-03-17,1.375,1.375,1.375,1.375,2100,2888
2015-03-16,1.330,1.353,1.353,1.330,19920,26910
2015-03-13,1.346,1.346,1.342,1.341,48012,64428
2015-03-12,1.333,1.341,1.341,1.333,1289,1721
2015-03-11,1.339,1.339,1.339,1.338,110886,148466
2015-03-10,1.366,1.366,1.330,1.321,6713,9148
2015-03-09,1.325,1.325,1.325,1.325,10501,13914
2015-03-05,1.335,1.335,1.335,1.335,500,668
2015-03-04,1.325,1.330,1.330,1.325,161271,214251
2015-03-03,1.325,1.325,1.324,1.324,58088,76932
2015-03-02,1.331,1.351,1.334,1.331,1163,1552
2015-02-27,1.320,1.329,1.329,1.320,28685,37883
2015-02-26,1.320,1.320,1.320,1.320,177,234
2015-02-17,1.320,1.320,1.320,1.320,42008,55451
2015-02-16,1.310,1.320,1.320,1.310,18988,25063
2015-02-13,1.316,1.317,1.317,1.316,10229,13469
2015-02-12,1.285,1.299,1.298,1.285,9127,11833
2015-02-10,1.285,1.285,1.285,1.285,443,569
2015-02-09,1.335,1.338,1.338,1.335,13229,17699
2015-02-04,1.298,1.310,1.310,1.296,27042,35099
2015-02-03,1.287,1.290,1.290,1.287,410,528
2015-02-02,1.301,1.302,1.301,1.301,40021,52102
2015-01-30,1.336,1.336,1.336,1.336,56700,75751
2015-01-29,1.336,1.338,1.338,1.336,14149,18921
2015-01-28,1.354,1.354,1.354,1.354,509,689
2015-01-27,1.377,1.377,1.360,1.360,22599,30895
2015-01-26,1.399,1.399,1.377,1.377,5689,7957
2015-01-23,1.390,1.394,1.394,1.390,3159,4393
2015-01-21,1.340,1.367,1.367,1.336,17857,23993
2015-01-19,1.378,1.378,1.366,1.366,4700,6430
2015-01-16,1.377,1.383,1.383,1.377,11150,15402
2015-01-15,1.358,1.358,1.358,1.358,10601,14396
2015-01-14,1.355,1.355,1.355,1.355,45,61
2015-01-13,1.357,1.395,1.395,1.357,38355,52453
2015-01-12,1.333,1.390,1.335,1.333,24894,33212
2015-01-09,1.353,1.353,1.353,1.353,1409,1906
2015-01-08,1.395,1.395,1.366,1.366,19926,27506
2015-01-07,1.360,1.370,1.370,1.360,19876,27218
2015-01-06,1.358,1.361,1.361,1.358,27672,37594
2015-01-05,1.342,1.389,1.360,1.342,301405,406576
2015-06-30,1.443,1.444,1.428,1.428,19495,28143
2015-06-29,1.444,1.444,1.444,1.393,34400,48991
2015-06-26,1.473,1.488,1.474,1.473,12812,18908
2015-06-25,1.500,1.551,1.551,1.500,12101,18264
2015-06-24,1.576,1.576,1.493,1.493,2600,4044
2015-06-23,1.486,1.529,1.466,1.465,7278,10834
2015-06-19,1.549,1.549,1.549,1.549,4700,7280
2015-06-18,1.551,1.552,1.552,1.550,38700,60052
2015-06-17,1.551,1.579,1.579,1.546,57000,88640
2015-06-16,1.637,1.637,1.600,1.552,5900,9292
2015-06-15,1.756,1.756,1.637,1.566,665614,1090084
2015-06-12,1.490,1.638,1.608,1.490,254289,380749
2015-06-11,1.605,1.606,1.604,1.604,69871,112128
2015-06-10,1.586,1.639,1.606,1.586,106400,171196
2015-06-09,1.604,1.604,1.580,1.580,189,301
2015-06-08,1.585,1.625,1.624,1.585,19271,31265
2015-06-05,1.616,1.616,1.616,1.616,41047,66332
2015-06-04,1.581,1.616,1.616,1.580,7842,12628
2015-06-03,1.575,1.584,1.584,1.575,612,968
2015-06-02,1.606,1.631,1.611,1.606,20229,32554
2015-06-01,1.566,1.605,1.604,1.566,62700,99569
2015-05-29,1.590,1.590,1.559,1.523,25414,39051
2015-05-28,1.595,1.602,1.590,1.590,153005,244655
2015-05-27,1.594,1.602,1.602,1.594,30662,49037
2015-05-26,1.558,1.581,1.581,1.558,99316,156548
2015-05-25,1.555,1.562,1.562,1.555,76473,119323
2015-05-22,1.544,1.559,1.558,1.543,119572,185845
2015-05-21,1.508,1.519,1.519,1.508,38309,57958
2015-05-20,1.491,1.508,1.507,1.491,109591,164531
2015-05-19,1.490,1.517,1.491,1.490,2400,3597
2015-05-18,1.466,1.490,1.490,1.466,33597,49372
2015-05-15,1.474,1.490,1.490,1.473,15158,22453
2015-05-14,1.467,1.467,1.467,1.467,20054,29419
2015-05-13,1.459,1.489,1.469,1.459,49089,72193
2015-05-12,1.467,1.467,1.450,1.440,13473,19541
2015-05-11,1.421,1.445,1.445,1.421,417436,600905
2015-05-08,1.410,1.433,1.429,1.410,53830,76276
2015-05-07,1.410,1.420,1.420,1.410,1262,1786
2015-05-06,1.424,1.433,1.413,1.412,51655,73307
2015-05-05,1.432,1.432,1.418,1.417,480325,687792
2015-05-04,1.433,1.447,1.447,1.433,3954,5709
2015-04-30,1.424,1.448,1.448,1.424,48049,69273
2015-04-29,1.412,1.412,1.412,1.412,89,126
2015-04-27,1.445,1.445,1.445,1.437,169075,243958
2015-04-24,1.525,1.525,1.437,1.422,181959,262228
2015-04-23,1.445,1.445,1.433,1.408,92981,132382
2015-04-22,1.411,1.451,1.430,1.411,43439,62107
2015-04-21,1.398,1.415,1.411,1.398,32630,46046
2015-04-20,1.415,1.421,1.403,1.402,127803,181369
2015-04-17,1.400,1.406,1.406,1.400,169184,237254
2015-04-16,1.388,1.405,1.391,1.375,13987,19430
2015-04-15,1.405,1.405,1.395,1.388,55551,77384
2015-04-14,1.384,1.410,1.397,1.384,88914,124380
2015-04-13,1.398,1.411,1.411,1.398,118225,166179
2015-04-10,1.370,1.405,1.393,1.370,45968,63963
2015-04-09,1.408,1.408,1.387,1.387,11600,16291
2015-04-08,1.420,1.429,1.406,1.406,41171,58380
2015-04-07,1.420,1.420,1.411,1.410,46492,65863
2015-04-03,1.385,1.410,1.410,1.385,132395,185756
2015-04-02,1.485,1.486,1.385,1.385,51700,73663
2015-04-01,1.376,1.393,1.388,1.376,107200,148730
2015-08-19,1.418,1.466,1.466,1.418,52561,74536
2015-08-17,1.473,1.473,1.473,1.473,200,295
2015-08-14,1.473,1.475,1.475,1.473,4451,6559
2015-08-13,1.461,1.498,1.497,1.461,600,891
2015-08-12,1.465,1.465,1.465,1.465,200,293
2015-08-11,1.473,1.507,1.507,1.473,477,716
2015-08-10,1.436,1.490,1.490,1.436,40088,59648
2015-08-07,1.438,1.438,1.438,1.438,400,575
2015-08-05,1.440,1.440,1.440,1.440,10500,15120
2015-08-04,1.388,1.424,1.424,1.388,543,757
2015-07-29,1.420,1.420,1.420,1.420,800,1136
2015-07-28,1.405,1.450,1.449,1.405,1189,1719
2015-07-24,1.470,1.471,1.466,1.466,264,388
2015-07-23,1.470,1.470,1.470,1.470,15800,23226
2015-07-22,1.455,1.459,1.452,1.452,8200,11908
2015-07-21,1.419,1.444,1.444,1.419,26619,38436
2015-07-20,1.433,1.433,1.433,1.431,599920,859652
2015-07-17,1.443,1.443,1.443,1.443,600,866
2015-07-16,1.421,1.421,1.421,1.421,600,853
2015-07-15,1.415,1.470,1.428,1.415,24100,34460
2015-07-14,1.395,1.466,1.411,1.395,2200,3116
2015-07-13,1.468,1.468,1.468,1.468,2600,3817
2015-07-10,0.000,1.412,1.412,1.412,29,41
2015-07-09,1.388,1.419,1.419,1.388,21200,29579
2015-07-08,1.355,1.399,1.326,1.266,484403,646675
2015-07-07,1.406,1.407,1.407,1.406,43901,61738
2015-07-06,1.395,1.486,1.406,1.395,36100,52624
2015-07-03,1.450,1.505,1.351,1.339,18200,24750
2015-07-02,1.401,1.423,1.405,1.401,700,990
2015-07-01,1.456,1.484,1.465,1.456,27636,40490
