#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,9.240,9.300,8.930,8.910,45526552,413388448
2015-03-30,8.960,9.190,9.180,8.920,53627504,485537344
2015-03-27,8.790,9.010,8.950,8.790,51483588,459682464
2015-03-26,8.600,8.830,8.740,8.510,41725952,363830048
2015-03-25,8.700,8.750,8.640,8.590,25304468,218993184
2015-03-24,8.910,8.940,8.780,8.460,37539816,327250624
2015-03-23,8.700,8.960,8.880,8.700,44051232,389710624
2015-03-20,8.800,8.800,8.700,8.650,31879334,277412544
2015-03-19,8.770,8.950,8.840,8.640,40796968,358720448
2015-03-18,8.620,8.790,8.760,8.600,35386460,308353280
2015-03-17,8.550,8.650,8.600,8.470,33551648,286719808
2015-03-16,8.430,8.550,8.540,8.300,31642420,267754704
2015-03-13,8.200,8.820,8.440,8.170,49806076,422914336
2015-03-12,8.040,8.180,8.160,7.990,20325252,164553824
2015-03-11,7.970,8.080,8.030,7.910,11825166,94666400
2015-03-10,7.950,8.050,7.970,7.900,11203458,89408352
2015-03-09,7.900,7.950,7.940,7.700,12159389,94904608
2015-03-06,7.820,8.050,7.920,7.780,12546263,99912184
2015-03-05,8.020,8.030,7.820,7.770,13867017,109060376
2015-03-04,8.030,8.090,8.020,7.910,14416877,115265168
2015-03-03,8.170,8.230,8.050,8.030,14949975,121488032
2015-03-02,8.060,8.250,8.210,7.970,19675540,160589216
2015-02-27,8.020,8.070,8.010,7.960,11086002,88791176
2015-02-26,7.750,8.030,8.020,7.750,12887865,102013296
2015-02-25,7.810,7.830,7.770,7.730,7353590,57138256
2015-02-17,7.860,7.860,7.800,7.770,8259311,64549064
2015-02-16,7.800,7.840,7.810,7.750,8395684,65493748
2015-02-13,7.650,7.860,7.760,7.630,13430708,104335712
2015-02-12,7.580,7.600,7.550,7.420,7680471,57726136
2015-02-11,7.610,7.680,7.570,7.550,7089260,53973328
2015-02-10,7.500,7.600,7.590,7.490,7853471,59351124
2015-02-09,7.500,7.600,7.500,7.250,11492722,85306288
2015-02-06,7.800,7.890,7.520,7.460,15232035,116254000
