#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-06-30,2.000,2.179,2.165,1.916,759837,1594341
2015-06-29,2.258,2.357,2.113,2.054,166674,350946
2015-06-26,2.365,2.448,2.258,2.258,231000,528152
2015-06-25,2.539,2.539,2.509,2.405,305515,750452
2015-06-24,2.544,2.544,2.519,2.431,111500,282002
2015-06-23,2.499,2.549,2.480,2.401,75733,185491
2015-06-19,2.716,2.716,2.500,2.500,139763,357729
2015-06-18,2.730,2.819,2.716,2.605,295248,796997
2015-06-17,2.730,2.814,2.756,2.600,331922,885959
2015-06-16,2.755,2.820,2.731,2.603,332853,898547
2015-06-15,2.874,2.900,2.802,2.800,255979,721009
2015-06-12,2.833,2.878,2.874,2.824,491124,1398586
2015-06-11,2.805,2.835,2.823,2.747,1170170,3284416
2015-06-10,2.718,2.810,2.804,2.718,1561072,4317889
2015-06-09,2.760,2.786,2.739,2.713,1796868,4915505
2015-06-08,3.014,3.014,3.014,3.014,423900,1277635
2015-06-05,3.200,3.632,3.349,3.020,1526334,4884034
2015-06-04,2.996,3.303,3.303,2.996,935259,3017364
2015-06-03,2.743,3.003,3.003,2.740,761772,2239061
2015-06-02,2.732,2.733,2.730,2.663,250526,681730
2015-06-01,2.550,2.733,2.733,2.550,303287,801680
2015-05-29,2.488,2.605,2.485,2.347,60655,151106
2015-05-28,2.699,2.700,2.486,2.451,76386,203313
2015-05-27,2.594,2.650,2.649,2.589,70687,184616
2015-05-26,2.538,2.639,2.600,2.538,160659,412421
2015-05-25,2.328,2.728,2.650,2.328,177985,439621
2015-05-22,2.470,2.480,2.480,2.250,207393,506975
2015-05-21,2.350,2.472,2.468,2.350,183608,445218
2015-05-20,2.142,2.445,2.357,2.142,182164,424943
2015-08-20,2.074,2.074,1.950,1.949,36937,73032
2015-08-19,2.126,2.130,2.080,1.931,83242,168481
2015-08-18,2.188,2.188,2.130,1.961,169263,347002
2015-08-17,2.035,2.178,2.176,2.035,6487,13297
2015-08-14,2.015,2.198,2.198,2.015,121600,261597
2015-08-13,1.976,2.173,2.098,1.976,57029,117266
2015-08-12,2.173,2.173,2.150,1.966,50451,104786
2015-08-11,1.969,2.200,2.175,1.969,306887,640499
2015-08-10,1.946,2.044,2.000,1.896,25800,51820
2015-08-07,1.865,2.030,1.946,1.865,56431,110994
2015-08-05,1.854,1.900,1.852,1.837,4553,8566
2015-08-04,1.860,1.890,1.834,1.834,400,742
2015-08-03,1.801,1.801,1.801,1.766,12500,22509
2015-07-31,1.821,1.821,1.821,1.821,1300,2367
2015-07-30,1.899,1.939,1.886,1.886,21979,41889
2015-07-29,1.928,1.928,1.899,1.820,19898,37638
2015-07-28,1.782,1.987,1.833,1.782,38378,70992
2015-07-27,2.001,2.001,1.930,1.900,40200,78296
2015-07-24,2.040,2.089,2.050,2.040,61663,127309
2015-07-23,2.000,2.045,2.045,2.000,27931,56486
2015-07-22,1.954,1.999,1.993,1.954,30578,60144
2015-07-21,1.881,1.996,1.936,1.881,74427,144295
2015-07-20,1.887,1.949,1.940,1.887,135100,259438
2015-07-17,1.714,1.880,1.880,1.714,134461,243918
2015-07-16,1.759,1.884,1.879,1.709,59100,106378
2015-07-15,1.803,1.889,1.759,1.757,169200,306085
2015-07-14,1.840,1.870,1.802,1.710,290624,535146
2015-07-13,1.840,1.968,1.841,1.728,442796,819324
2015-07-10,1.686,1.847,1.840,1.686,741167,1342255
2015-07-09,1.678,1.683,1.683,1.530,241775,395309
2015-07-08,1.501,1.548,1.530,1.498,457927,687171
2015-07-07,1.727,1.788,1.664,1.664,269298,455870
2015-07-06,1.960,1.960,1.849,1.723,674071,1209798
2015-07-03,1.809,1.960,1.831,1.809,537405,997058
2015-07-02,2.031,2.050,1.961,1.961,325307,646045
2015-07-01,2.166,2.288,2.160,2.021,142050,308430
