#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,47.000,51.810,51.810,46.710,10717341,542779456
2015-03-30,45.990,48.410,47.100,45.900,12631077,602580480
2015-03-27,44.010,44.010,44.010,42.310,11988320,519685120
2015-03-26,41.750,42.500,40.010,39.310,4146070,169309936
2015-03-25,39.020,42.500,41.710,37.800,5707573,228758800
2015-03-24,40.060,40.340,39.200,37.590,5224645,204514720
2015-03-23,40.000,41.480,40.530,39.720,3506594,142173984
2015-03-20,38.960,40.490,40.220,38.720,3695007,146013056
2015-03-19,38.530,39.970,39.270,38.530,2890353,113342424
2015-03-18,39.400,40.360,38.980,38.090,4575431,179668816
2015-03-17,37.650,39.960,39.600,37.460,5446126,209504992
2015-03-16,35.000,37.960,37.960,34.570,8048161,296187200
2015-03-13,32.580,34.690,34.510,32.320,4653490,157625152
2015-03-12,32.020,33.180,32.500,31.600,3977198,129079272
2015-03-11,33.150,33.340,32.280,32.000,4248010,138810080
2015-03-10,33.410,33.840,33.390,32.840,5588738,185279872
2015-03-09,32.550,33.420,33.390,31.880,4801512,157701424
2015-03-06,33.750,33.860,32.500,31.620,8189007,268002656
2015-03-05,36.000,36.400,33.880,33.850,6429265,224567424
2015-03-04,34.810,35.300,35.300,34.120,3429079,118459056
2015-03-03,35.500,36.360,34.880,34.800,3047834,108475264
2015-03-02,35.000,36.400,35.970,34.400,3843034,137119808
2015-02-27,33.540,34.500,34.300,33.160,2441209,82699704
2015-02-26,33.420,34.300,33.530,32.600,2762765,92149600
2015-02-25,35.000,35.550,33.700,33.650,3247109,112687824
2015-02-17,32.350,34.500,34.020,32.350,3087595,103418848
2015-02-16,31.010,32.650,32.350,31.010,3109301,98803272
2015-02-13,31.070,31.740,31.400,30.710,3185972,99514000
2015-02-12,30.260,31.500,30.970,29.810,2482253,75815136
2015-02-11,29.950,30.550,30.070,29.410,2850049,85545536
2015-02-10,28.340,29.900,29.880,28.280,2859824,83428664
2015-02-09,29.180,29.540,28.550,28.230,2419513,69936216
2015-02-06,29.740,29.740,29.120,28.110,3503969,101325528
2015-02-05,29.480,29.950,29.380,28.880,3408895,100165496
2015-02-04,29.260,29.970,29.460,28.000,3555894,104423000
2015-02-03,27.900,29.440,29.190,27.900,6358821,184478896
2015-02-02,26.220,28.600,27.900,26.220,5629509,155259344
2015-01-30,26.640,27.030,26.510,26.180,2866046,75998432
2015-01-29,26.860,27.200,26.750,26.260,2924340,78368416
2015-01-28,26.960,28.230,27.000,26.820,7207012,198586384
2015-01-27,28.300,28.400,26.900,26.120,6579494,179443856
2015-01-22,26.120,27.380,27.280,26.120,5786360,154879232
2015-01-21,26.450,26.660,26.460,25.630,8171325,213096752
2015-01-20,25.000,26.290,26.030,24.770,12959357,331601184
2015-01-19,22.550,24.790,24.700,22.550,14682482,362509312
2015-01-16,22.500,23.180,22.540,22.000,5806340,131376128
2015-01-15,21.870,22.020,21.550,21.520,2795259,60812904
2015-01-14,21.950,22.050,22.040,21.360,4419289,96131408
2015-01-13,21.100,22.300,21.880,21.100,7101200,155778032
2015-01-12,20.300,21.900,21.050,20.100,7232594,153362464
2015-01-09,19.610,21.080,20.300,19.600,7898717,162670400
2015-01-08,19.220,20.120,19.800,19.040,5291935,104606656
2015-01-07,19.570,19.600,19.220,19.020,2420889,46527692
2015-01-06,18.500,19.560,19.540,18.310,5002865,95490224
2015-01-05,18.510,18.890,18.630,18.300,2597052,48059976
2015-06-30,31.300,34.320,34.320,28.970,19487946,628742720
2015-06-29,34.080,34.600,31.200,29.730,21633600,692048640
2015-06-26,35.600,36.500,33.030,33.030,13314062,455518528
2015-06-25,39.630,40.320,36.700,35.730,10699257,409269440
2015-06-24,39.880,41.100,39.680,38.490,14285343,569942784
2015-06-23,35.000,39.300,39.200,33.800,16423775,595662016
2015-06-19,39.000,40.120,36.630,36.630,12518460,470934784
2015-06-18,42.200,43.480,40.700,40.200,10969778,462317824
2015-06-17,44.390,44.450,42.500,40.200,16397897,689297344
2015-06-16,41.210,45.280,43.590,40.110,20041090,867768384
2015-06-15,44.120,47.100,42.890,42.000,23214996,1049320448
2015-06-12,41.850,46.460,44.110,41.850,20207788,902008448
2015-06-11,38.400,42.990,42.620,38.200,26666592,1084472704
2015-06-10,41.520,41.800,39.150,38.500,32006344,1296872832
2015-06-09,36.000,39.170,39.170,35.610,22927270,875937088
2015-06-08,33.350,35.850,35.610,31.970,33746916,1140314240
2015-06-05,34.220,34.890,32.690,32.600,23694084,801235008
2015-06-04,34.000,35.500,33.550,31.660,23509004,787538048
2015-06-03,36.210,36.630,34.300,34.000,30073056,1059216128
2015-06-02,38.960,38.960,36.720,35.800,36882424,1387092352
2015-06-01,35.420,35.420,35.420,35.420,310557,10999929
2015-05-15,29.500,32.990,32.200,29.000,22231130,683504448
2015-05-14,32.420,32.840,30.510,30.000,17725558,551540800
2015-05-13,62.050,65.130,63.880,61.220,9253047,587164352
2015-05-12,62.670,64.960,63.500,61.400,10172782,641669824
2015-05-11,58.500,63.500,62.890,58.050,8689671,534351968
2015-05-08,56.400,58.470,57.990,55.500,7924141,453468768
2015-05-07,55.400,55.400,54.000,53.350,3197031,173785328
2015-05-06,55.300,57.450,55.400,54.550,6450535,362278976
2015-05-05,56.650,57.300,54.500,53.020,6393786,354575488
2015-05-04,56.490,58.470,57.590,54.510,7457081,419259584
2015-04-30,60.170,60.760,57.300,57.000,8558156,501354816
2015-04-29,57.040,61.330,60.170,56.100,7405084,438636192
2015-04-28,61.000,62.390,58.020,57.990,10451078,623809472
2015-04-27,70.700,71.380,62.460,61.630,17462452,1135382656
2015-04-24,61.200,68.480,68.480,61.000,10133901,664348672
2015-04-23,62.000,64.480,62.250,59.880,9921019,621309952
2015-04-22,61.170,62.920,61.890,60.000,8817406,542230976
2015-04-21,60.300,62.480,61.080,58.110,6973769,425352128
2015-04-20,60.500,62.880,59.580,57.100,10407593,628803520
2015-04-17,54.310,59.070,59.070,53.020,8222654,463307808
2015-04-16,51.890,55.450,53.700,51.600,7097874,385263040
2015-04-15,55.900,56.790,52.800,52.200,8602538,468248160
2015-04-14,59.650,59.930,57.010,57.010,7691590,448851040
2015-04-13,60.500,62.000,59.950,59.330,6292878,380482912
2015-04-10,59.000,63.000,61.110,58.600,7897211,482753440
2015-04-09,59.010,60.880,59.880,55.000,12154424,707573312
2015-04-08,62.300,64.400,59.800,58.000,10526172,635975424
2015-04-07,64.000,68.000,62.700,61.000,10468517,655947328
2015-04-03,59.820,64.800,63.400,58.980,10483679,651636352
2015-04-02,54.930,59.510,59.510,53.300,11053448,621372544
2015-04-01,53.000,56.490,54.100,50.900,13356181,705851712
2015-08-14,40.600,40.990,37.780,37.330,32671468,1255580800
2015-08-13,38.900,41.000,39.900,38.400,20312988,802417984
2015-08-12,42.100,42.780,39.210,38.900,25482678,1030723392
2015-08-11,44.030,44.900,43.000,42.710,19602872,851971264
2015-08-10,42.910,45.990,44.810,42.000,20333304,896156928
2015-08-07,43.000,43.500,42.000,40.550,23996164,1006888832
2015-08-06,35.710,40.370,40.370,35.500,16536971,642738624
2015-08-05,35.400,37.500,36.700,35.400,18475772,675379840
2015-08-04,32.010,36.300,34.890,32.010,18135936,622124480
2015-08-03,36.560,38.500,33.500,33.400,31718184,1135307648
2015-07-31,36.560,36.560,36.560,34.640,18853092,686976640
2015-07-06,40.620,40.620,33.240,33.240,22435876,810026816
2015-07-03,35.500,40.500,36.930,34.350,26522678,985275648
2015-07-02,35.780,39.820,38.150,35.510,32469744,1235732224
2015-07-01,35.120,37.750,36.200,35.000,24128616,892916608
2015-08-17,37.790,39.190,38.300,36.300,30106704,1132997760
2015-08-18,37.950,39.680,37.500,35.200,28557364,1089411840
2015-08-20,39.000,40.390,39.130,37.780,22447020,880558912
2015-08-19,36.210,39.250,39.120,35.130,22335008,841151744
2015-09-14,24.610,24.960,22.150,22.150,12786374,295525728
2015-09-11,24.400,24.890,24.610,23.810,14780941,359535968
2015-09-10,25.600,26.680,24.210,23.880,22405552,570457280
2015-09-09,26.500,27.280,26.440,25.700,22340716,593500992
2015-09-08,24.000,26.200,26.030,23.670,16912954,420991488
2015-09-07,22.650,25.250,24.000,22.650,21478868,517168064
2015-09-02,23.090,26.360,23.090,23.090,22506832,529717984
2015-09-01,28.000,28.150,25.660,25.660,13143917,346937888
2015-08-31,29.300,29.980,28.510,28.250,19488476,567929408
2015-08-28,27.300,29.050,29.050,26.800,23560100,666750784
2015-08-27,27.000,28.000,26.410,24.600,22938116,607501440
2015-08-26,25.960,29.550,25.960,25.960,31190010,840067200
2015-08-25,28.840,28.840,28.840,28.840,1599600,46132464
2015-08-24,33.200,34.650,32.040,32.040,7133500,232066704
2015-08-21,38.010,38.760,35.600,35.300,24113732,885227584
2015-09-30,23.050,23.400,22.980,22.660,5569582,128470352
2015-09-29,23.510,23.900,22.960,22.710,8984500,208728960
2015-09-28,23.230,24.190,23.990,22.620,10373298,244152832
2015-09-25,24.230,24.690,23.150,23.050,14927515,354833408
2015-09-24,23.810,24.700,24.230,23.810,17008762,413363104
2015-09-23,23.900,24.500,23.580,23.500,16355093,391454464
2015-09-22,23.900,25.480,24.650,23.410,20548254,502361408
2015-09-21,22.110,24.090,23.800,22.110,18531082,431462208
2015-09-18,23.750,23.950,22.960,21.770,23051968,525973632
2015-09-17,21.900,24.120,23.550,21.170,27031556,623270592
2015-09-16,20.380,21.930,21.930,19.560,21950436,453571968
2015-09-15,20.100,21.490,19.940,19.940,26225744,539173120
2015-10-12,25.700,28.080,27.580,25.690,21447358,578432256
2015-10-09,24.450,25.990,25.530,24.080,19288954,484854432
2015-10-08,24.150,24.770,24.450,23.810,11908576,290049344
