#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,3.750,3.900,3.750,3.750,209977,794167
2015-03-30,3.670,3.788,3.750,3.670,604241,2234532
2015-03-27,3.621,3.677,3.665,3.600,1024956,3725790
2015-03-26,3.646,3.675,3.621,3.600,1055292,3801953
2015-03-25,3.653,3.669,3.643,3.600,1649760,5966028
2015-03-24,3.640,3.667,3.642,3.501,248229,896010
2015-03-23,3.638,3.650,3.625,3.579,238541,862500
2015-03-20,3.613,3.613,3.579,3.524,682536,2420092
2015-03-19,3.500,3.600,3.577,3.490,2697863,9459760
2015-03-18,3.420,3.510,3.510,3.420,307592,1068549
2015-03-17,3.491,3.493,3.400,3.384,151132,517885
2015-03-16,3.323,3.598,3.495,3.316,1807017,6187215
2015-03-13,3.301,3.330,3.300,3.292,516305,1701749
2015-03-12,3.257,3.310,3.290,3.256,1978264,6482433
2015-03-11,3.300,3.300,3.265,3.262,535394,1750863
2015-03-10,3.241,3.275,3.273,3.241,371290,1212604
2015-03-09,3.193,3.248,3.242,3.190,47762,154218
2015-03-06,3.239,3.270,3.249,3.213,33000,106714
2015-03-05,3.270,3.270,3.245,3.215,527709,1704316
2015-03-04,3.238,3.251,3.251,3.234,122760,398286
2015-03-03,3.255,3.270,3.238,3.238,1265433,4101824
2015-03-02,3.250,3.285,3.280,3.250,94535,309175
2015-02-27,3.281,3.281,3.270,3.228,1978700,6458097
2015-02-26,3.180,3.277,3.277,3.173,1108858,3533654
2015-02-25,3.208,3.228,3.185,3.155,143458,458416
2015-02-17,3.227,3.227,3.219,3.203,84047,269934
2015-02-16,3.141,3.209,3.192,3.141,119493,379901
2015-02-13,3.153,3.184,3.163,3.140,150294,473745
2015-02-12,3.079,3.141,3.126,3.079,580678,1806608
2015-02-11,3.118,3.118,3.080,3.000,47500,146193
2015-02-10,2.940,3.098,3.045,2.940,550916,1676351
2015-02-09,3.009,3.314,3.098,3.000,49800,153771
2015-02-06,3.042,3.050,3.013,3.000,57672,174136
2015-02-05,3.093,3.124,3.058,3.058,595906,1827045
2015-02-04,3.107,3.138,3.079,2.927,1069356,3326348
2015-02-03,3.039,3.124,3.095,3.039,538500,1653572
2015-02-02,3.098,3.098,3.044,3.015,203620,618362
2015-01-30,3.135,3.199,3.103,3.102,537446,1682023
2015-01-29,3.198,3.198,3.174,3.116,2354328,7426544
2015-01-28,3.152,3.200,3.161,3.152,113566,358867
2015-01-27,3.200,3.230,3.200,3.132,1087438,3470390
2015-01-26,3.160,3.196,3.191,3.150,1228135,3875200
2015-01-23,3.168,3.190,3.165,3.110,1310150,4096799
2015-01-22,3.147,3.170,3.168,3.076,222724,701835
2015-01-21,3.098,3.151,3.151,3.054,502707,1569662
2015-01-20,2.990,3.150,3.050,2.950,3415525,10207017
2015-01-19,3.171,3.171,2.900,2.900,452497,1337546
2015-01-16,3.128,3.198,3.183,3.116,851552,2673182
2015-01-15,3.039,3.102,3.102,3.039,771336,2361138
2015-01-14,3.030,3.091,3.034,2.901,211410,647253
2015-01-13,3.017,3.098,3.049,2.858,1142810,3502350
2015-01-12,3.058,3.149,3.015,3.001,611080,1858452
2015-01-09,3.052,3.135,3.124,3.052,1765329,5480201
2015-01-08,3.088,3.111,3.095,3.043,1858796,5710899
2015-01-07,3.080,3.113,3.090,3.080,1318463,4073903
