#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,1.429,1.429,1.429,1.429,2300,3287
2015-03-30,1.442,1.442,1.420,1.414,3000,4275
2015-03-27,1.423,1.423,1.420,1.420,9200,13085
2015-03-26,1.411,1.411,1.401,1.401,15600,22006
2015-03-25,1.420,1.446,1.417,1.416,47601,67596
2015-03-24,1.399,1.450,1.450,1.390,69601,97283
2015-03-23,1.372,1.372,1.372,1.372,200,274
2015-03-20,1.350,1.359,1.359,1.350,47907,65079
2015-03-19,0.000,1.348,1.348,1.348,9200,12402
2015-03-18,1.324,1.352,1.351,1.323,570603,756344
2015-03-17,1.322,1.325,1.318,1.318,123800,163874
2015-03-16,1.275,1.350,1.302,1.275,4166711,5431258
2015-03-13,1.273,1.273,1.273,1.273,15200,19350
2015-03-12,1.256,1.275,1.272,1.256,12400,15593
2015-03-11,1.259,1.259,1.250,1.246,220103,275854
2015-03-10,1.250,1.253,1.253,1.250,140400,175501
2015-03-09,1.250,1.250,1.250,1.250,11300,14125
2015-03-05,0.000,1.250,1.250,1.250,600,750
2015-03-04,1.243,1.249,1.249,1.243,19200,23936
2015-03-03,1.260,1.270,1.240,1.240,13300,16542
2015-03-02,1.233,1.235,1.235,1.233,400,493
2015-02-27,1.236,1.236,1.234,1.234,200,247
2015-02-26,1.208,1.225,1.225,1.208,33501,41034
2015-02-17,1.240,1.242,1.240,1.240,62800,77922
2015-02-16,1.200,1.217,1.217,1.200,565900,686588
2015-02-13,1.190,1.200,1.200,1.190,40600,48627
2015-02-12,1.173,1.200,1.199,1.173,8600,10315
2015-02-11,1.163,1.204,1.204,1.163,1200,1400
2015-02-09,1.130,1.135,1.135,1.130,32900,37341
2015-02-06,1.139,1.139,1.139,1.139,9700,11048
2015-02-05,1.167,1.167,1.162,1.162,5600,6516
2015-02-04,1.164,1.164,1.163,1.163,5900,6862
2015-02-03,1.152,1.155,1.155,1.152,13200,15207
2015-02-02,1.137,1.145,1.145,1.136,25117,28620
