#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,24.500,24.700,24.200,23.890,40805720,991847424
2015-03-30,24.660,25.280,24.550,24.150,41307040,1014160768
2015-03-27,24.930,24.940,24.470,24.200,37937716,932642688
2015-03-26,25.850,26.370,25.000,24.800,57325392,1459121536
2015-03-25,25.500,27.280,26.400,25.000,91334320,2367099392
2015-03-24,24.100,26.400,26.100,22.810,126560440,3134620160
2015-03-23,23.800,24.000,24.000,23.400,65717408,1558118784
2015-03-20,23.700,24.400,23.610,23.360,56845772,1352346112
2015-03-19,24.290,24.460,23.800,23.420,57650144,1373572992
2015-03-18,23.700,24.290,24.060,23.110,64375844,1530547456
2015-03-17,24.130,24.500,23.700,22.850,70874608,1670652544
2015-03-16,22.960,23.950,23.260,22.810,72163480,1684401792
2015-03-13,22.550,23.100,22.580,21.150,59830232,1321305984
2015-03-12,23.400,23.930,22.500,21.890,64924640,1489930752
2015-03-11,23.700,24.100,22.970,22.900,78118544,1828249344
2015-03-10,22.900,23.940,23.940,22.050,137597824,3174688256
2015-03-09,21.760,21.760,21.760,21.760,12212464,265743216
2015-03-06,19.780,19.780,19.780,19.780,1371577,27129794
2015-01-29,17.560,17.990,17.980,17.000,33735164,593437888
2015-01-28,17.570,18.390,17.560,17.350,47368404,852599872
2015-01-27,16.360,17.870,17.580,16.360,59646536,1032808960
2015-01-26,16.040,16.610,16.400,16.040,28953124,473949216
2015-01-23,16.440,16.490,16.040,15.990,33844900,550018624
2015-01-22,15.920,16.500,16.280,15.850,45343252,737401152
2015-01-21,15.600,16.290,15.920,15.600,80405232,1286435840
2015-01-20,14.450,15.250,15.200,14.390,39580208,591647552
2015-01-19,14.290,14.800,14.390,14.030,22071516,319243840
2015-01-16,14.400,14.640,14.520,14.390,15342867,222719072
2015-01-15,14.270,14.630,14.400,14.200,15947306,230643456
2015-01-14,13.880,14.500,14.280,13.870,25122918,357692128
2015-01-13,13.950,14.090,13.910,13.750,14931202,207732400
2015-01-12,13.780,14.080,14.000,13.650,15081651,209889760
2015-01-09,13.930,14.180,13.870,13.850,18819356,263733072
2015-01-08,13.890,14.150,13.970,13.790,18515400,259092720
2015-01-07,14.150,14.150,13.860,13.710,14816499,205711664
2015-01-06,13.810,14.150,14.100,13.680,20304760,282842752
2015-01-05,13.420,13.870,13.780,13.300,19586880,267047168
2015-06-30,12.290,13.520,13.520,11.300,75052784,942225024
2015-06-29,14.000,14.000,12.290,12.050,67049296,864779392
2015-06-26,14.400,14.440,13.390,13.390,52209068,721705024
2015-06-25,15.780,15.800,14.880,14.610,51657988,796512640
2015-06-24,15.160,15.860,15.530,15.100,53547696,825666176
2015-06-23,15.400,15.580,15.100,13.730,52972208,784795712
2015-06-19,16.630,16.760,15.220,15.190,48031184,766561728
2015-06-18,17.600,17.870,16.870,16.760,45640312,788238784
2015-06-17,17.220,17.760,17.690,16.510,51913348,893121856
2015-06-16,18.210,18.220,17.310,17.010,66832276,1182165888
2015-06-15,19.700,19.750,18.590,18.560,79308512,1506667008
2015-06-12,19.450,19.600,19.410,19.140,81337168,1572738688
2015-06-11,19.000,19.390,19.380,18.630,86849984,1665106688
2015-06-10,18.670,19.170,18.930,18.200,63130068,1192944512
2015-06-09,18.910,19.220,18.700,18.590,60234972,1135775232
2015-06-08,19.600,19.600,18.890,18.600,71832504,1358427776
2015-06-05,19.030,19.500,19.150,18.550,78874424,1512606464
2015-06-04,19.520,19.520,18.920,17.800,73328096,1370443392
2015-06-03,19.850,20.100,19.520,19.000,73458832,1445171072
2015-06-02,19.000,20.120,19.760,18.990,82435152,1615264640
2015-06-01,18.000,19.000,18.810,17.850,69920384,1299040128
2015-05-29,18.500,18.850,18.000,16.980,103078072,1854534144
2015-05-28,21.020,21.360,18.650,18.650,146964096,2962832128
2015-05-27,20.500,21.200,20.720,20.200,128937648,2673504512
2015-05-26,20.210,20.420,20.200,19.800,106392816,2139816064
2015-05-25,19.320,20.500,20.040,19.200,108414240,2164994048
2015-05-22,20.890,21.080,19.850,19.400,164316576,3295244032
2015-05-21,19.030,20.190,20.190,18.610,179326400,3539634176
2015-05-20,18.090,18.980,18.350,18.010,123720632,2275902720
2015-05-19,17.960,18.250,17.990,17.630,81247768,1452984832
2015-05-18,18.560,18.560,17.990,17.910,101132376,1835279104
2015-05-15,18.160,19.000,18.590,17.520,149595840,2738630656
2015-05-14,17.250,18.320,18.060,17.020,134192032,2371616000
2015-05-13,17.350,17.990,17.230,16.730,130077088,2248974592
2015-05-12,24.320,26.570,26.400,23.910,97160760,2471402240
2015-05-11,23.490,24.190,24.150,23.080,42884188,1020840064
2015-05-08,22.900,23.750,23.290,22.500,42706700,983457920
2015-05-07,22.150,22.560,21.960,21.910,23872174,529797056
2015-05-06,22.920,23.190,22.150,21.660,36281512,820465152
2015-05-05,24.400,24.460,22.610,22.300,47285228,1105555840
2015-05-04,24.500,24.500,24.330,23.800,27038088,654088704
2015-04-30,24.400,24.630,24.260,24.060,27839660,678375104
2015-04-29,23.960,24.680,24.270,23.650,32932220,798651072
2015-04-28,25.350,25.500,23.960,23.780,52886212,1294222592
2015-04-27,25.680,25.950,25.300,25.010,55075772,1401753600
2015-04-24,25.780,26.410,25.670,25.500,57344952,1483757440
2015-04-23,27.000,27.200,26.000,25.870,105516848,2787590912
2015-04-22,24.060,26.680,26.680,24.050,107266208,2739792384
2015-04-21,23.600,24.350,24.250,23.360,40692688,973873664
2015-04-20,24.280,24.680,23.710,23.650,56022824,1359798528
2015-04-17,24.380,24.790,24.250,23.550,67103784,1615450752
2015-04-16,23.990,25.000,24.220,23.510,44418360,1081122048
2015-04-15,25.400,25.960,24.300,23.950,41881720,1046939776
2015-04-14,25.250,25.830,25.360,24.670,57800544,1456967552
2015-04-13,25.060,25.380,25.240,24.580,48052748,1202026624
2015-04-10,24.350,25.200,25.050,23.870,49691128,1223933952
2015-04-09,24.870,25.010,23.830,22.580,58360412,1392869120
2015-04-08,26.000,26.180,24.830,24.590,59141788,1487077248
2015-04-07,25.160,26.530,26.000,24.890,58619540,1511162240
2015-04-03,24.810,25.390,25.140,24.510,56624456,1419564928
2015-04-02,24.970,25.200,24.760,24.380,43944272,1084341120
2015-04-01,24.240,24.980,24.730,24.200,40948380,1010998656
2015-08-14,15.110,15.250,14.930,14.810,34242004,515521056
2015-08-13,14.600,15.190,15.030,14.500,32804880,487665408
