#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,4.030,4.030,3.940,3.910,140187504,556762752
2015-03-30,4.000,4.080,4.040,3.970,147670512,593614528
2015-03-27,3.920,4.120,4.030,3.820,184713728,731948032
2015-03-26,4.040,4.040,3.930,3.900,201914016,797445312
2015-03-25,4.290,4.290,4.070,4.050,245024512,1004557248
2015-03-24,3.990,4.300,4.210,3.990,488520288,2019815168
2015-03-23,3.570,3.910,3.910,3.540,327841312,1237732480
2015-03-20,3.340,3.650,3.550,3.340,299409952,1049556672
2015-03-19,3.420,3.450,3.360,3.310,241329520,812051008
2015-03-18,3.240,3.400,3.390,3.230,319651776,1062280576
2015-03-17,3.410,3.410,3.240,3.170,453500384,1483414784
2015-03-16,3.100,3.100,3.100,3.100,40017800,124055176
2015-03-03,2.800,2.840,2.820,2.780,100426496,282533472
2015-03-02,2.780,2.810,2.810,2.760,71319760,199359152
2015-02-27,2.780,2.780,2.770,2.760,49465056,136976720
2015-02-26,2.740,2.780,2.780,2.710,52366784,144023584
2015-02-25,2.780,2.780,2.750,2.740,35117472,96762936
2015-02-17,2.750,2.780,2.770,2.750,37048608,102473992
2015-02-16,2.740,2.750,2.750,2.720,31939580,87447232
2015-02-13,2.720,2.750,2.730,2.720,42970164,117541736
2015-02-12,2.660,2.740,2.710,2.650,48856024,132184368
2015-02-11,2.640,2.660,2.650,2.630,29598600,78276080
2015-02-10,2.600,2.650,2.640,2.590,28064414,73718816
2015-02-09,2.630,2.630,2.610,2.580,28113676,73230184
2015-02-06,2.700,2.710,2.620,2.600,55441648,146454048
2015-02-05,2.750,2.770,2.700,2.700,37841624,103287176
2015-02-04,2.750,2.760,2.720,2.720,34557820,94739872
2015-02-03,2.730,2.750,2.750,2.710,35414164,96781960
2015-02-02,2.730,2.760,2.720,2.710,43451108,118756328
2015-01-30,2.800,2.820,2.780,2.770,45302348,126478544
2015-01-29,2.800,2.820,2.810,2.780,46872848,131248552
2015-01-28,2.810,2.850,2.830,2.790,61753552,174310368
2015-01-27,2.840,2.850,2.820,2.790,64583288,182010944
2015-01-26,2.810,2.840,2.840,2.790,62706716,176437328
2015-01-23,2.840,2.850,2.820,2.800,62067376,175294912
2015-01-22,2.840,2.850,2.850,2.820,67097780,190230288
2015-01-21,2.770,2.840,2.840,2.760,82051616,230671120
2015-01-20,2.680,2.800,2.780,2.680,86687536,238536800
2015-01-19,2.810,2.820,2.680,2.610,109134056,298322208
2015-01-16,2.850,2.870,2.870,2.840,55190952,157730064
2015-01-15,2.810,2.860,2.850,2.790,53318916,150721360
2015-01-14,2.850,2.850,2.820,2.800,46072216,130324424
2015-01-13,2.830,2.850,2.850,2.810,49841404,141401408
2015-01-12,2.900,2.920,2.830,2.810,99851224,285484288
2015-01-09,2.950,2.980,2.930,2.930,80282512,237433776
2015-01-08,3.040,3.050,2.960,2.950,117779480,352157952
2015-01-07,3.020,3.120,3.050,3.010,202941664,620109568
2015-01-06,2.960,3.020,3.000,2.930,143796384,425698112
2015-01-05,2.890,2.990,2.980,2.880,189125632,558508352
2015-06-30,5.190,5.960,5.940,4.920,312104256,1698357888
2015-06-29,6.200,6.250,5.460,5.400,287268480,1654819712
2015-06-26,6.390,6.480,6.000,6.000,229729616,1420732416
2015-06-25,7.150,7.150,6.670,6.500,298899296,2060131072
2015-06-24,6.890,7.300,7.170,6.770,430806624,3057528576
2015-06-23,6.260,7.110,6.920,5.820,384685920,2432790528
2015-06-19,6.810,7.000,6.460,6.460,303068160,2018232320
2015-06-18,7.300,7.580,7.180,7.100,389651744,2841599744
2015-06-17,7.850,8.500,7.610,7.120,823350976,6479199232
2015-06-16,7.100,7.740,7.740,6.690,515743680,3814761472
2015-06-15,6.540,7.040,7.040,6.350,455140256,3047593728
2015-06-12,5.780,6.400,6.400,5.760,403794368,2526544384
2015-06-11,5.690,5.900,5.820,5.610,225681744,1298972672
2015-06-10,5.700,5.850,5.750,5.540,191156064,1097114752
