#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,28.500,29.940,29.480,28.180,13828791,403191648
2015-03-30,29.000,29.160,28.170,27.900,12143946,344406208
2015-03-27,28.150,29.200,28.650,28.150,7579884,218215040
2015-03-26,29.500,29.600,28.540,27.870,16885296,484905568
2015-03-25,30.710,31.750,30.090,28.960,23524182,711564864
2015-03-24,30.710,30.710,30.710,28.800,22744172,690839552
2015-03-23,27.920,27.920,27.920,27.920,197491,5513949
2015-03-04,24.950,25.590,25.380,24.770,8512667,214356096
2015-03-03,25.280,26.550,24.900,24.800,15702649,403349824
2015-03-02,25.090,26.230,25.590,24.880,17546418,448175040
2015-02-27,22.700,24.880,24.880,22.700,22230600,533179840
2015-02-26,22.820,23.300,22.620,22.330,6603515,150482144
2015-02-25,22.880,23.490,22.800,22.490,9895009,227657568
2015-02-17,22.960,23.200,22.700,22.370,9477074,215620816
2015-02-16,21.700,23.160,22.700,21.700,15324522,345610400
2015-02-13,21.770,21.950,21.700,21.500,5902950,128025552
2015-02-12,21.780,21.800,21.600,21.340,4783241,103157392
2015-02-11,21.310,21.900,21.530,21.010,7821726,168326368
2015-02-10,20.520,21.330,21.300,20.130,6217273,128449912
2015-02-09,20.400,21.020,20.860,20.390,4763288,98919536
2015-02-06,21.500,21.800,20.500,20.250,7224863,149514384
2015-02-05,21.850,22.150,21.490,21.220,6516896,141886192
2015-02-04,22.600,23.030,21.740,21.590,9018162,200186736
2015-02-03,22.460,22.900,22.500,22.180,6135760,137536080
2015-02-02,21.810,23.060,22.420,21.710,8795557,199430208
2015-01-30,21.030,22.300,21.950,21.010,7132967,154647344
2015-01-29,21.070,21.470,21.090,20.810,3281874,69660488
2015-01-28,21.250,21.680,21.150,21.010,5345007,113639384
2015-01-27,22.190,22.390,21.360,20.900,11991966,256592544
2015-01-26,21.680,22.450,22.180,21.610,6967800,154263104
2015-01-23,22.300,22.500,21.600,21.460,7197311,156307968
2015-01-22,22.500,22.880,22.280,22.010,8162737,183276800
2015-01-21,21.510,22.870,22.610,21.510,19778134,441110720
2015-01-20,20.280,21.250,21.000,20.250,9452078,197423072
2015-01-19,20.000,21.390,20.290,19.570,10635305,221169808
2015-01-16,20.120,20.630,20.350,20.120,7238249,148167952
2015-01-15,20.750,21.030,20.120,20.100,5823816,119173416
2015-01-14,20.910,20.980,20.720,20.310,7053939,145658336
2015-01-13,20.200,21.400,20.580,20.200,18972664,394225728
2015-01-12,18.890,19.780,19.670,18.890,10851796,211365216
2015-01-09,18.680,19.200,18.800,18.600,5680165,107716512
2015-01-08,18.590,19.150,18.680,18.590,4720131,88935784
2015-01-07,19.200,19.220,18.760,18.420,7270545,136362912
2015-01-06,17.810,19.200,19.060,17.760,13537559,252149824
2015-01-05,18.450,18.450,17.990,16.990,9244381,163208816
2015-06-30,30.330,33.310,33.310,28.980,12075576,381048960
2015-06-29,33.000,33.050,30.280,29.190,14885961,451948512
2015-06-26,34.700,34.700,32.430,32.430,8933365,295886176
2015-06-25,39.130,39.380,36.030,35.500,8867927,337275808
2015-06-24,37.880,39.100,38.150,36.880,8839893,337488992
2015-06-23,36.100,37.960,37.790,34.500,11599042,425790816
2015-06-19,38.430,39.180,36.300,35.390,10126119,379912000
2015-06-18,42.990,43.390,39.060,39.060,12491791,509648160
2015-06-17,42.000,44.150,43.400,40.320,11568873,491631744
2015-06-16,44.060,44.060,41.770,41.000,10785220,457594656
2015-06-15,49.000,49.800,45.200,44.700,14709906,682580608
2015-06-12,48.960,50.490,49.470,48.000,9839292,484551136
2015-06-11,48.890,49.580,48.900,47.500,8520058,413044384
2015-06-10,47.100,50.970,49.570,46.100,11551574,558033152
2015-06-09,48.380,48.880,47.100,46.000,8786032,415754496
2015-06-08,50.000,50.450,47.680,44.630,12899851,604684032
2015-06-05,51.240,51.300,48.300,46.620,12286605,606493568
2015-06-04,50.000,50.360,48.600,44.660,13119046,620393856
2015-06-03,48.550,51.800,49.550,45.670,16493673,807196352
2015-06-02,44.500,48.400,48.400,44.500,16457738,777409344
2015-06-01,40.230,44.000,44.000,40.200,12460955,536778176
2015-05-29,38.340,41.000,40.000,36.370,10700929,416321120
2015-05-28,42.100,43.020,38.080,38.000,11928852,487049376
2015-05-27,41.400,42.810,41.640,39.500,10933389,449744864
2015-05-26,39.460,41.680,40.980,39.350,12700950,516738304
